,dispersion ratio,generate level,solar elevation,predict
41茌家10,0.354,0.975657,23.7448,1.0
41茌家11,0.354,1.0,29.10128,1.0
41茌家12,0.354,0.998848,31.45183,1.0
41茌家13,0.355,0.941164,30.43291,1.0
41茌家14,0.452,0.966426,26.20838,1.0
41茌家15,0.373,0.918661,19.36153,1.0
42西宋屯8,0.358,0.0,6.672896,1.0
42西宋屯9,0.16,0.701357,16.04612,1.0
42西宋屯10,0.098,0.889782,23.7448,0.0
42西宋屯11,0.073,0.990152,29.10128,0.0
42西宋屯12,0.053,1.0,31.45183,0.0
42西宋屯13,0.066,0.942249,30.43291,0.0
42西宋屯14,0.149,0.982426,26.20838,1.0
42西宋屯15,0.138,0.936367,19.36153,0.0
43温桥8,0.313,0.955,6.672896,1.0
43温桥9,0.177,0.561765,16.04612,1.0
43温桥10,0.038,0.902736,23.7448,0.0
43温桥11,0.039,0.892215,29.10128,0.0
43温桥12,0.036,0.955,31.45183,0.0
43温桥13,0.03,0.841793,30.43291,0.0
43温桥14,0.044,0.96573,26.20838,0.0
43温桥15,0.367,1.0,19.36153,1.0
44北郭8,0.148,0.918182,6.672896,0.0
44北郭9,0.015,0.834711,16.04612,0.0
44北郭10,0.016,1.0,23.7448,0.0
44北郭11,0.014,0.971798,29.10128,0.0
44北郭12,0.019,0.936304,31.45183,0.0
44北郭13,0.031,0.936304,30.43291,0.0
44北郭14,0.11,0.914794,26.20838,0.0
44北郭15,0.216,0.909091,19.36153,1.0
45太平傅家8,0.113,0.927273,6.672896,0.0
45太平傅家9,0.014,0.702479,16.04612,0.0
45太平傅家10,0.018,0.963996,23.7448,0.0
45太平傅家11,0.015,0.913736,29.10128,0.0
45太平傅家12,0.014,0.915072,31.45183,0.0
45太平傅家13,0.025,0.915072,30.43291,0.0
45太平傅家14,0.1,0.889634,26.20838,0.0
45太平傅家15,0.429,0.918092,19.36153,1.0
46秦一8,0.457,1.0,6.672896,1.0
46秦一9,0.382,0.606061,16.04612,1.0
46秦一10,0.369,0.792079,23.7448,1.0
46秦一11,0.363,0.912409,29.10128,1.0
46秦一12,0.363,0.888158,31.45183,1.0
46秦一13,0.357,0.888158,30.43291,1.0
46秦一14,0.391,0.885609,26.20838,1.0
46秦一15,0.495,0.940594,19.36153,1.0
47艾家栏8,0.06,0.733333,6.672896,0.0
47艾家栏9,0.011,1.0,16.04612,0.0
47艾家栏10,0.01,0.834983,23.7448,0.0
47艾家栏11,0.011,0.776156,29.10128,0.0
47艾家栏12,0.007,0.820175,31.45183,0.0
47艾家栏13,0.009,0.820175,30.43291,0.0
47艾家栏14,0.027,0.811808,26.20838,0.0
47艾家栏15,0.489,0.871287,19.36153,1.0
48孙家店8,0.387,1.0,6.672896,1.0
48孙家店9,0.376,0.909091,16.04612,1.0
48孙家店10,0.37,0.792079,23.7448,1.0
48孙家店11,0.378,0.80292,29.10128,1.0
48孙家店12,0.383,0.822368,31.45183,1.0
48孙家店13,0.377,0.789474,30.43291,1.0
48孙家店14,0.369,0.811808,26.20838,1.0
48孙家店15,0.452,0.841584,19.36153,1.0
49东梁8,0.265,0.733333,6.672896,1.0
49东梁9,0.067,0.555556,16.04612,0.0
49东梁10,0.028,0.726073,23.7448,0.0
49东梁11,0.032,0.749392,29.10128,0.0
49东梁12,0.03,0.723684,31.45183,0.0
49东梁13,0.032,0.747807,30.43291,0.0
49东梁14,0.027,0.703567,26.20838,0.0
49东梁15,0.174,0.726073,19.36153,1.0
50张宅8,0.211,0.918182,6.672896,1.0
50张宅9,0.078,0.695592,16.04612,0.0
50张宅10,0.135,1.0,23.7448,1.0
50张宅11,0.175,0.871267,29.10128,1.0
50张宅12,0.228,0.875897,31.45183,1.0
50张宅13,0.18,0.845694,30.43291,1.0
50张宅14,0.331,0.847031,26.20838,1.0
50张宅15,0.256,0.727273,19.36153,1.0
51西仁岸8,0.074,0.901099,6.672896,0.0
51西仁岸9,0.012,1.0,16.04612,0.0
51西仁岸10,0.095,0.911618,23.7448,0.0
51西仁岸11,0.1,0.81219,29.10128,0.0
51西仁岸12,0.108,0.465909,31.45183,0.0
51西仁岸13,0.115,0.796117,30.43291,1.0
51西仁岸14,0.193,0.787515,26.20838,1.0
51西仁岸15,0.208,0.748657,19.36153,1.0
52北吴8,0.613,1.0,6.672896,1.0
52北吴9,0.427,0.47561,16.04612,1.0
52北吴10,0.256,0.505837,23.7448,1.0
52北吴11,0.032,0.762667,29.10128,0.0
52北吴12,0.029,0.535511,31.45183,0.0
52北吴13,0.154,0.946602,30.43291,1.0
52北吴14,0.417,0.983193,26.20838,1.0
52北吴15,0.133,0.928571,19.36153,0.0
53大常8,0.212,1.0,6.672896,1.0
53大常9,0.079,0.792683,16.04612,0.0
53大常10,0.045,0.910506,23.7448,0.0
53大常11,0.049,0.936,29.10128,0.0
53大常12,0.04,0.517045,31.45183,0.0
53大常13,0.045,0.883495,30.43291,0.0
53大常14,0.173,0.946779,26.20838,1.0
53大常15,0.061,0.928571,19.36153,0.0
54大仁岸8,0.183,0.901099,6.672896,1.0
54大仁岸9,0.04,1.0,16.04612,0.0
54大仁岸10,0.022,0.820456,23.7448,0.0
54大仁岸11,0.043,0.81219,29.10128,0.0
54大仁岸12,0.041,0.482549,31.45183,0.0
54大仁岸13,0.096,0.824549,30.43291,0.0
54大仁岸14,0.098,0.853141,26.20838,0.0
54大仁岸15,0.388,0.880773,19.36153,1.0
55后封8,0.311,1.0,6.672896,1.0
55后封9,0.389,0.792683,16.04612,1.0
55后封10,0.324,0.657588,23.7448,1.0
